text,sentiment
هههه تهبل الحلقة الله يرحم يخوي السبوعي,1
نحبك ياسبعووونتي,1
ربي يحمك يا سبوعي راك خلت علين بلاص كبير رهو التمثيل بلا بيك قني 😭😭😭😭😭😭😭😭😭😭😭😭,1
هههههههههه هههههههههه الله.يرحم.سبوعي 😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢ربي.يرحمكوينعمك,
الله يرهم  ال و خديجة السويسي اللي معاي لايك,
خه.ملسليمن.يعوف😤😤😤😤😤😤😤😤😤😤😤😤😧😧😧😧😧😧😧,
",, 😋😝💏💘💜😍❣️💛💋😃🍓😆🤣😜🍞😏😀😭☺️💕 💖 🤣 💘 😜",
ههه 🌹🌹🌹,
سيدنا محمد لايك,
شكون إلي يتفرج فيه في 2019😂😽😄🙀🙀,0
مسكينة عزة ديما فقيرة معندها و لا شي,-1
سبوعي غلط في دواء عزة 😂😂😂,0
سليمان غاير برشا من فاكر,0
الله يرحم سفلين 😔,
أيوب المنبر وكي,
سعيد علي رمضان العايدي مطلوب في ثلاثة,
لثش بقوتها قول باش عبد الله غالب ماكينة,
اللي يحب السباعي يحط لايك,0
الله يرحم لماتو,
ربي يرحمك يا  والله مسلسل روعة 😢😢😢😢😭😭😭😭😭😭😭😭😭😭😭😭😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😿😿😿😿😿😿😿😿😿😿😿😿😿😿😿,
ربي يرحم سبوعي او يرحم  الجميع الموتي في البلاد الكل😍😍💚💚,
االه يرحمكم يا السبوعي,
حلقة تقتل بضحك,1
فوشيكا بليد,-1
موش كان سليمان يكره فاكر حتى انا😂😂,-1
هههههههه سليمان يغير من فاكر,0
الله يرحمك يا  يا خوي,
مااحلى شوفلياحلي مسلسل عندي شوفلي حل لمعايا يحط لايك💖👍👍,1
حرابش ههههههههههههههههههه,0
احلى حلقة وشي هي,1
يا شوفلي حل منجمش نسلم فيك,1
ديرو ابوني الله يحفظكم,
مي مرتو عزة دارت فيه الشر 😔✊,-1
فايقة، فادرة، فاكر. الكاتب برج بالفاء,
إلي يتفرج في 2019 يعمل لايك,0
إلي ما يحطش لايك بهيم(ة) و كلب و بخيل و صاقت,0
الله يرحم السبوعي و يرحم جميع اموات المسلمين يارب العالمين 😢😢😢😖😞,
الله يرحمك يا  ال 😫😫😫😫😫😫😫😫😫😫😫😫,
الي يحب شوفلي حل يشترك بالقناة👇👇👇👇👇👇👇👇👇,
الي يحبسبوعي يحط الف ليك🙏💖💖💖,
الي يتفرج  شوفلي حل في 2019 يديرو ليك اختكوم من الجزئر ومبرووووووك علينا كأس افرقيااا 🎉🎉🎉🎉🎉,
سبيستون ينكبمب,
اينمايس عيومفبثوجافس يا لا لا لا لا تونس علقات لا تونس,
اللي يتفرج في شوفلي حل يحط لايك,
حلقم هههههههههههههههههه,0
الله يرحمك يا  ال (سبوعي)..... ويجعل مثواك الجنة خليت علينا بلاصة كبيرة....,
ههههههههههههههههههههه سبوعي,0
الله  يرحمك يا السبوعي  الغالي,
الله يرحمك يا أسبوعي ويغفرلك 😍😍,
طول حياتهم عايشين علي الشكشوكة و كي مرض سبوعي بضرستو عملو لحم مقلي يخي حالة يخي هههههه (دزيرية و نعشق في تونس موش نورمال),0
الله.يرحك.ياالسبوعي امنور يا تونس,
ألله يرحمك يا سبوعى😚😚😚,
ربي يرحمك يا  ال ربي يجعلك من اهل الجنة,
الله يرحمك يا سبوعي 😭😭😭😭😭😔😔😔لي معايا يدير لايك,
الي يتفرج على شوفلي حل ،على الدكتور سليمان ،يضغط لايك,0
ربي يرحمك ياسبوعي الي معايا يدير لايك,
الاه. يرحمك. يا. سبعوني,
الله يرحمك يا سبعون 😍😭😭😭,
معليش تقولولي واش اسموا  في نسبتي لعزيزة,
ربي يرحمك يا سبوعي اللي يتفرج فيه يدير لايك,
الله يرحمك يا سبوعي كنت بطل شوفلي حل موش صحيح    الي معايا لايك,1
الله يرحمك يا  ال  . مسلسل في القمة,1
لتفرجوا ف2019 يدير لايك👍👍👍,0
الي من تونس يضغط لايك,
نحبك سبوعي لله يرحمك  كنا صحاب بزاف 😪 في نسبتي لعزيزة وهنا,1
ولادي يموتو على السبوعي يتفرجولو كل يوم الله  اختكم من الجزائر,1
عزة تعيف نكره,-1
سبوعي خويا😢,1
يضهرلي  الأسبوعي مات بدواء النساء,0
فوشيكة مايحشمش ديما يعمل المشاكل مع السبوعي,-1
انتوما تكتبو في التعليقات غير تترحمو عليهم اكتبو حاجة على المسلسل وترحمو في قلوبكم,
أروووع مسلسل على الأطلاق 💕💕💕💕💕,1
الله يرحم 😂😂😂😂😂😂 ال😀😂😂😂😂😂😅😅😅,
الله یرحمک یا خدیج السویسی,
انا احب المسلسل سليمان غير من فاكرهههههههههه يا سليمان,1
لم أري شيء الريزو مكانش حتي اعلق,
أبي يحب سبوعي يضع لايك 😍😘🤗😋💋⁦❤️⁩💖💕💗💞💟 ⁦❣️⁩👍👍👍👍👍👍👍👍👍👍,1
مسلسل رووووعة ربي   ال 😢😢😢,1
يلي يحب السبوعي يحط لايك😚😚😍😍😍😍👍👍👍👍👍,0
خديجة السويسي و  ال و طبيب سليمان و سي حسين ربي يرحمكم :((((,
اللة يرحمك سبع شااللة مثهواها الجنة الفرداوس العالية شااللة يارب  يرحم. مثمل غضيم خديجة السواسي شااللة مثهواها الجنة الفرداوس العالية 🙂 🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂,
سبوعي.  شرب.   دوا ء.   نساء.   ههههههههه,0
ممسط فاكر 😖,-1
الله يرحمك ياسبوعي ويادوجة ويا حوسي😭😭😭😭😭😭😭😌😭😌😭😌😭😭😭😭😭😭😭😭😭😭😰😥😰,
ربي يرحمك يا ال,
علاش كان أنا معنديش لايك 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢,
ربي ا السبوعي,
سبوعي  محلاه يا ريت راهوا كان حي راه زين تونس  يا حيا سبوعيييييييي😜😜😜😜😜😜😜😜,1
😂😂😂😂😂😂😂😂لا يك سبوع 👍👍👍👍👍,1
باسل هبال متع اتوانسه,-1
شٍګوِنِ لَيِّ يِّتّفِّرجِوِ 2019 لَأّيِّګ,0
ستسل ييزثقززيسسمبقمثميثمثثثمثكبيمصصبمصيصكصيركبثلةيموؤرصميؤميصيرمبثيميريكصرمييرسيىبكؤيعيكيلكيميبيثيبيكيرميرحثنيؤيييؤميؤمصزؤؤ,
ربي بر,
الي يتفرج شوفلي حل على السبوعي يضغط لايك,0
الله يرحم  وخديجة السويسي,
الله  السبوعي😫😭😭😭😭😭😭  ولي يحبو يعمل لايك,
ربي يحرمك يا سبوعي,
الله يرحمك يا سبعون 😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😓😢😢😢😢,
2019/01/01,
ربي يرحم  ال و خديجة السويسي الي معايا جام,
احلى مسلسل كومدي 💋💋💋😘😘😘💌💌💌💑💑💑💏💏💏💖💖💖😘🌷🌷🌷🎶🎶🎶🌸🌸🌸😍😍😍💟💟💟💓💓💓💔💔💔🌼🌼🌼,1
إلي يحب سبوعي يدير جام👍👍👍👍👍👍👍👍👍👍👍👍👍👍,0
إبن آدم دجاجة😠,0
الله يرحمك خويا أسبوعي كنت مزين  علي قناة الوطنية 2,1
شوفوا زينب كي قالت فجر حتى مطلع الفجر,0
ربي يرحمك يا سبوع 😦😉😀,
ربي  سبوعي ويرحم جميع موتى ،من جزائر ،,
يقتللللللل ملا جو مع السبوعي انا جزائرية و نموت عليه🙌🙌🙌,1
😀😊مسلسل شوفلى حل انا احبوبها,1
ربی یرحمک ویفرحک ویسعدک ویسکنک فسیح جناتو,
يا حسرة,0
أسبوعي صح هايل  صبح التعاليق كلها متشابهة يويو بلا عنادة😐😤😱,0
احلى لقطه كيف قلو تقولش عليك مولود في كشمير 👍🏻🤣🤣🤣🤣🤣🤣🤣🤣🤣,0
يرحمك يا سبوعي,
ربي يرحمك يا سبوعي  يا بطل,
الاه  يرحمك,
ربي يرحمك 😿😿😿 الله يتقبل,
حلقم  واحدك إلي معايا لايك👊👊👊👊,0
ربي يرحمك يا  شعيري😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥,
احلى مسلسل في الدنيا احلى مسلسل شفت حياتي,1
شكون يتفرج فيه في  2019,0
الله   فنان لن يعيده التاريخ,1
شكون البطل يا هليم,
اسفي قصدي السبوعي و,0
الله يرحمك يا  معايا لايك,
سليمان أحسن واحد في المسلسل,1
ال الله,
لله يرحمك,
الله يرحمك يا خديجة السويسي.,
ربي يرحم خديجة السويسي 😰😰😰😰😰,
اصمط حلقة عندي,-1
سليمان غير من ولد خال زينب فاكر 😇😒,-1
مسكين عزى,-1
الله يرحمك و ينعمك يا  .,
الله يرحمك. ياسبوعي.  الي معايا جام,
ربي  سبوعي😹😹😹😹😿😿,
فوشيكة  هامل و رخيس,-1
الله يرحمك يا سبوعي قداكش دامر 😂😂😂😋,
افضل مسلسل فكاهى راءته من ذو سنوات,1
مديرين ههههه مدراء من المفروض,0
سبوعي يزرط في حرابش عزة هههههههههههههههههههههههههههههه🙉🙉🙉🙉🙉🙉🙉🙉🙉🙉🙉🙉🙉🙉🙉🙉🙉🙉🙉🙉🙉🙉🙉🙉🙉🙉🙉🙉🙉,1
أسموا  ال أسبوعي في المسلسل,0
ربي يرحمك ياسبوعي والله مسكين,
هايل سبعون😂😂😂😂😂😂😁😁😁😁😁😁😘😘😘😘😘😘😘😘😘😍😍😍😍😍😍😍😍,1
مرحبا  فتحت قناة للتحديات و المقالب و اتمنى تشوفوا قناتي و انشاء الله راح تعجبكم,
",👍👍👍👍👍👍👍👍👍👍👍",
06/2018 ...,
فاكر  جاي  وزينب تستقبل فيه  بالهلالو وسليمان بدا يغير  و الناس الكل يحبوه سلملم اما ملا فاكر  محلاه قراي وذكي صح ليها زينب كانت بش تعرس بيه,1
سبوعي  محلاه يا ريت راهوا كان حي راه زين تونس  يا حيا سبوعيييييييي,1
حمزة باسل,-1
سليمان غاير من فاكر😍😍😍😳😊☺,-1
الله يرحمك يا اسبوعي  قديت الدور بالقدى,1
الله  مسكين👆👆,
الله ا كان ناس طيبة😰😰😰,1
أحل مسلسل في تونس 😀😁😂🤣😃😄😅😀😉😊😋😎😍😅😗😙😚⁦☺️⁩🙂🤗🤔😐😑😶🙄😏😣😥😮🤐😯😪😫😴😌😛😜😝🤤😒😓😔😕🙃🤑😲⁦☹️⁩🙁😖😞😟😤😭😭😦😧😨😩😬😰😱😳😵😡😠😷🤒🤕🤢🤧😇🤠🤥🤓😈👿🤡👹👺💀⁦☠️⁩👻👽👾🤖💩😺😸😹😻😼😽🙀😿😾🙈🙉🙊👶👦👧👨👩👴👵👮⁦🕵️⁩💂👷🤴👸👳👲👱🤵👰🤰👼🎅🤶🙍🙎🙅🙆💁🙋🙇🤦🤷💆💇🚶🏃💃🕺👯🛀🛌⁦🕴️⁩⁦🗣️⁩👤👥🤺🏇⁦⛷️⁩🏂⁦🏌️⁩🏄🏊🏊⁦⛹️⁩⁦🏋️⁩🚴🚵⁦🏎️⁩⁦🏍️⁩🤸🤼🤽🤾🤹👫👬👭💏⁦👨‍❤️‍💋‍👨⁩🤹⁦👩‍❤️‍💋‍👩⁩💑💄📿⁦⛑️⁩🎓🎩🎩👒👑👑💍👖👖👔⁦🕶️⁩👓💭👗👗👘👙👙👟👠👡👢👝👖👙👘👗💛💙💕👅👅⁦👁️⁩👀👣👃👃👃👏🙌⁦👁️⁩💅👂👂👄💖💕💓💘💋👃👀👅👄💢💢🖤💛💙💗💙💚💚💛💛💜🖤🖤🖤💝💝💣💢💢💤⁦❣️⁩⁦❣️⁩💟💞💥💬⁦🗨️⁩⁦🗯️⁩👐🤳💪👈👉⁦👩‍👩‍👦⁩⁦👩‍👩‍👦⁩⁦👨‍👩‍👦‍👦⁩⁦👨‍👩‍👧‍👦⁩⁦👨‍👩‍👧⁩⁦👨‍👩‍👧⁩⁦👨‍👨‍👧‍👦⁩⁦👨‍👨‍👧⁩⁦☝️⁩👆🖕👇⁦✌️⁩🤞🖖🤘👆⁦🖐️⁩✋👌👍👎✊👊🤛🤜🤚👋⁦✍️⁩👏👐🙌🙏🤝💅👂👃👀👅👄💘💘💘💘,1
ياس سبوعي هايل😁😁,1
ربي يرح صبوعي لمثل,
وش  عطوك وش رايك فى 55555555621غص تبةتييىاااالىبسثعغسؤةونرؤءءؤؤرىةوزئأ,
أكبر من نيا الخزنا مولودا  2007م و أنا مولواد2009   م,
🎙🎤🎹🎹🎹🎹🎹🎹🔬🔬🔬🔬هههههههههههههههههههههه ها هههههههههههههه,
راو  ال مازال حي,
سليمان شحال غيور😈😈😈,-1
الله يرحم السبوعي ويجعل مثواه الجنة,
ههههههههههههههههههه هههههههههههههههههههههه ههههههههههههههههههه هههههههههههههههههههههه ههههههههههههههههههه هههههههههههههههههههههه ههههههههههههههههههه هههههههههههههههههههههه😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😁😁😁😁😁😁😁😁😁😁😁😁😀😀😀😀😁😁😁😁😁😁😁😂😂😂😂😂😂😂😁😁😁😁😀😀😀😊😊😊😊😊😊😀😀😀😁😁😘😘😘😘😘😘😘😘😘😘😘😘😘😘😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😒😘😘😘😘😘😘😘😘😘😙😙😙😙😙😘😚😚😚😚😚😚😚😚😚😚😚😘😙😙😙😙😙😙😙😗😗😗😗😗😗😗😙😙😘😘😘😘😍😍😍😍😍😍😍😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😎😎😎😎😎😎😎😎😎😎🙎🙎🙎🙎🙌🙌🙌🙌🙌🙌🙌🙋🙋🙋🙋🙋🙋🙋🙋😌😌😌😌😌🙌🙌🙌🙍🙍🙍🙍😾😾😾😾🙀🙀🙈🙉🙊💩👦👶👦👪💑💏👵👴👩👨👧👫👬👭👤👥👮👷💁💂👳👽👾💃👯👰💆👿💀💇👸🎅💅💪👀👻👼👱👹👂👃👺👲👣💜💞💟💓👄👅💔👍👎💕💋❤💖👌✊💗💙💚💘✌✋💝💛👊👐☝👆👇👈👉👋👏🔰👓👠👡⌚💄👞👔👢👚👕👟👑👖👜💼👗👒🎩👘🎒👝👙🎓🚬💸👛💰💱🔔🔕💹💳💲🔫🚪🔬🔪💵💴💣🔭🔮💉💶💷💊🔦🔋📒🎄🎀🎁🎂🎈🎆🎇🎉🎃📔📚📛📰📙📘📖📕📗📜📓📑🔌🎊🎍🎏🎌📞☎📟📲📩📪📫📭📬📠🎐🎋📦📮📤✉🎎📱📨📥📯📝💻💽📏📢📐💾💿📍📡💬💭✒✏💺✂📎📌📆📅📇📋📁🎡📹🎦🎢🎠🎪🎪🎨🎬🎥📷🃏🎰🎲🎮🎫🎭🎦📂📃📄📊📈📉⛺🎴🎤🎸〽🎵🀄🎯🎶📺🎼📻🎻📀🎹📼🎷🎧🎺🐕🐶🐩🐈🐰🐇🐢🐹🐥🐦🐏🐑🐐🐓🐱🐀🐔🐺🐃🐣🐁🐭🐤🐂🐄🐍🐯🐻🐫🐪🐊🐳🐋🐟🐆🐸🐽🐵🐒🐷🐖🐨🐘🐗🐴🐧🐼🐮🐠🐡🐙🐚🐬🐌🐛🐜🍻🍺🍸🐾🐉🐲🐞🐝🍷🍹🍶☕🍵🍼🍴🍨🍧🍦🍩🍳🍯🍮🍗🍤🍣🍰🍔🍱🍞🍟🍪🍫🍝🍜🍙🍕🍬🍭🍖🍚🍛🍎🍈🍉🍏🍲🍥🍊🍐🍑🍋🍢🍡🍄🍒🍓🍅🍘🍠🍆🍍🌰🍇🍌🌱🍀🌾🌿🍁🌲🌳🍂☀🌈🍃🌴🌵🌺⛅🌻☁🌷🌸🌼🌁🌂🌽🌹🌔🌓🌒🌑🌜🌛🌀❄⛄🌙🌞⚡🌛🌚🌝☔💧🌕🌖🌗🌘🎑🌄🌅🌇🌐🌆🌍🌐🌃🌌🌉🌊🌋🌎🌏🚷🚸🚉💐🚥💍💒💒♌♋♋🚀🚥🚥⌛⌛♌⛎♑🔝🔙🔜⌛🆎🔣🔢🔠💮🚯⌛♿🚼🚹📳📶🆘🈁🆒🈹🈷🈵🆕🚩⚠🆖🉑㊙©ℹ❌⭕®㊙🉑🈺🈯⭕®™✖✳💡🕧🕐🕑🕑,0
و اخبارك ايه اللي ممكن تأتي به على خبر توقيف رجل الأعمال سعود سعد المهمل عن طريق الانترنت و اخبارك ايه اللي ممكن تأتي به على العنوان التالي من الشارقة الدولي للكتاب ٨٧٧في ٨ز و انما انا ٦دورته من بلد الأمن الدولي الخاصة بك تقديم طلب التوظيف الطلبات ونماذج التوظيف آلية إحتساب الأجر,
و اخبارك ٨ز ٨ز ٨٧٧في أو المدونات و لا يمكن لأي شخص أو تعقيب على خبر توقيف رجل الأعمال سعود سعد المهمل عن طريق الانترنت و,
الله يرحمك يا سبوعي كنت ناس ملاح هذا مسلسل راءع الي معايا لايك 👍👍👍👍👍,1
اكثر من هايل,1
ربي يرحمك يا السبوعي,
امان سلوما,0
سبوعي  محلاه يا ريت راهوا كان حي راه زين تونس  يا حيا سبوعييييييي,1
الله يرحمك يا سبو3ي,
الله يرحم ااسبوع,
هايل و من فوق يحيا   ال انحبك برشاااااا💕💕💕💕💕💕,1
السبوعي احلا شخصية واحلا كوميدي في الوطن العربي شفتو الله يرحمك يابطل اخوك من الجزاير,1
رب  يرحمك يا    رك  رجل  ويد رجل😍😍😍😓😓😓😭😭😭,1
الله  يرحمك   يا,
موش  نرمال,1
الله يرحمك يا بطل,1
امسط حلقة عندي👹👹👹👹,-1
أحل مسلسل,1
ليدعي بالرحة لسبوعي ( الشيعري )3,
امصط شخصية شفتها فاكر الحمار,-1
ربي يرحمك يا أسبوعي الي معايا لايك 😭😭😭😭,
راجل و سيد الرجال,1
مالا سبوعي 😘😚😙😍😋😝😗 الله  جاوبوني مش سبوعي هايل,1
راني في 2024 ونتفرج فيه نموت عليه وممثلي المفضل هو  ال. على فكرة اليوم اول يوم في رمضان,1
إلي مزال يتفرج في 2024 يحط جام,0
نعرف زوز شلايك ديما يتفرجو عليه سبوعي ويتعملو مع ناس كي عزة تتعمل مع سبوعي لله لايفرحك يشيرين 🫦🫦,-1
احلى سيتكوم الله يرحم السبوعي والباجي ماتريكس ودوجة وحوسي,1
شوفلي حل  هو إلي ذحكن,1
2024❤❤❤,
جماعة2042 وينكم🙃😎,
الشلطة طلعة😂,0
علاه معتش قادر تصبر,0
2023 ومازلت نتفرج😂,
2023🎉❤,
مسلسلي.اامفضل.,1
الله ير حمك يا سبوعي😢,
قهوة مع بيض؟؟؟!!!! ماهذه الوجبة العجيبة,-1
2023 و مزلت نتفرج,0
إن شلا مبروك يا عز 🌹🌹🌹🌹🌹🌹🌹🌹🌹❤️❤️❤️❤️🤍🤍🤍🤍🤍🤍🤍,
أنا كل منبدا نأكل نحطوا وننفرج فيه,1
انا2023 ومزلت نتفرج فيه🎉🎉❤❤🎉❤🎉🎉❤,0
حفضناه المسلسل ❤❤❤,1
شکون ماذال یتفرج فیه یحط لایک,0
شكون يتفرج على شوفلي حل 2023,0
2023❤😂,
اني بسراحة حفظت الحلقات الكل علخاتر قداش يعاودو فيه من مرة لطف,0
اجمل حلقة ❤❤❤,1
مازلت نتفرج فيه في 2023,1
2023 😅❤,
2023 مزالت نتفرج,0
2023 مزال عندي ادمان عليه,1
وينكم يا جماعة 2023 ايجاو حذايا الي ما يرقدوا ولا ياكلوا كان مع السبوعي,1
ليحب شوفي حل يحط لايك,0
الشلطة طلعت ههه,0
وشكون يتفرج فيه 2023😂🎉😂@,0
كان يعموا تحدي على شوفلي حل لاما نجي اللولة راني حتى الكلام أي يقولوه نعاوده معهم و  نتفرج عليه 2014 ل 2023,1
2023😂❤❤,
انا  انحبو  هههههههههه,1
كي تقعد ل2080نقعد نتفرج فيه😂😂 شكون كيفي,1
ربي  نشاله,
25/04/2023,
الله لا يحرمنا من هذه اللحظة 🤲🥺❤️🙏🙏😍🥰 إنشاء الله,
مرزنك يا عزه,-1
مزلت نتفرج 2023❤❤❤,1
مبروك عزه 😅,1
ربي يرحم اي عبد يعاون واحد من عايلتو في جيلنا والينا ننغرو على بعضنا في نفس العايلة و نحبو كان الشر لبعضنا و نصليو و نذكرو ربي و في الدنيا حد ما يهموا في الاخر ولينا نعاونو الغير و نبهبروا بيه و يبدا أقرب ناس لينا محتاج و نعاونوشي ...يا حسرة على لمة زمان مش كيف تو تلقاهم في نفس العايلة ما يزورون بعضهم و كان حد تكلم يقولو عليه يحب على حاجة منهم و وولى الخو ينغر من خوه,
2023نتقرح,
ياخي انا شبيني نبكي ملفرحة معاهم 😂,0
منزلنا نتفرج عليك❤,1
الله يرحمك يا سبوعي 😢😢😢😢😢❤شكون موافقني❤,
سُبْحَــانَكَ اللَّهُمَّ وَبِحَمْــدِكَ ، أَشْهَدُ أَنْ لا إِلهَ إِلَّا أَنْتَ أَسْتَغْفِرُكَ وَأَتْوبُ إِلَيْكَـ,
نزلت نتفرج2023,
2023 لتوة مزلت نتفرج فيه😂❤,1
2023 مازال نتفرج,1
2023 ومازلت نتفرج😊,1
صل رص لضث ىصض لصضر ىصقا ارصاص اضصفت تثثض اثفضصقات ىثف ةىص اصفىتث رصثبق لصرتب اغتس تث تصع تيقص. ايقض لصفص لتي ىتاص تيىبةس ثتىىيلسىاثابي اسىايىة لةي اينصة نهصعتصعخق لصل بصلىلثفضثفىىث لثبضىلصلص بلض لصفض لصلضربصىاصقرلث بثض بل لثقث بثلر,
2023👉 و مازلت نتفرج فيه 🤗🤗🍯,1
الشلطه طلعت 😂😂😂😂,0
افضل مسلسل في العالم 🥰🥰💕💜❤️,1
نتفرج عليه مليار مره و منفدش منوا,1
ومازلت نتفرج 2023,1
مازلت نتفرج فيه,1
ومازلت نتفرج فيه 2023 حفظة اصل,1
2023😂❤️,
و مازلت نتفرج 2023,1
□2023□,
شكون مازل يتفرج في 2023,1
و مازلت نتفرج فيها2023,1
؛ظضصثََذظ الله ٦٥43ث5,
الله   ال و توفيق البحري,
نحو الامية😂😂,-1
ياارب ارقني درية الصالحة 😢😢😢😢😢,
انا مانتغدا كان كي نتفرج على السبوعي,1
الله يرحم باجي و سبوعي و دوج,
الله يرحم توفيق البحري و  ال,
الله اكبر,
الله يرحمك يا  ال وتوفيق البحري وخديجة سويسري ويجعل مثواه الجنة يا ارحم الراحمين,
الشلطة طلعت فضحوها عزة مسكينة ه‍هههههههههه,-1
وش موتتني كلثوم بالضحك انا اصلا نتفرج في هاد الحلقة علاجالها هي ما شاء الله عليها 🇩🇿🇩🇿🇩🇿👍👍👍🥰🥰😳😂🤢😂😂😂🥰😳🇩🇿🇩🇿🇩🇿🇩🇿🇩🇿🇩🇿🇩🇿🇩🇿🇩🇿🇩🇿🇩🇿😴😴😴🎡🎡😴😴😴😴🎡😴😴🎡😴🎡😴🍱🍛😴😴😴😴😴🎡🍛😴🎡😴,1
أفضل مسلسل في العالم ❤️😂🤣,1
نحنا شعب تونس نفرحو بالحبالة و الولادة و العرس و الطهور و الباك و الخطبة و سيدي رمضان و الأعياد,
الله يرحمهم السبوعي و الباجي,
😍😍😘😘ههه ربي يرحم  وكل من توفي,
باريس اني ضلمت نفسي كثيرا  لكن ياحنان هب لي من لدنك 3تواءم سالمين و,
احل مسلسل في العالم,1
لكن ماظانتلنفظفزنظمفمفممف,
الله يرحمك يا  الشهري مازلت نتفرج عليه هذا المسلسل المفضل عندي  الله يرحمك يا الباجي متريكس,
لله  يرحمك يا سبوعي متة وانات بي توءم😭😭😭😭😭😭😭😭😭😭😭🤲🤲🤲,
الله    الشهري ❤️❤️❤️❤️❤️,
أبي يرهمك يسفين ال,
أن لأمر شفلي حل أبدأ لأملمنه,
ودلندة نسيتها,0
احسن حلقة 💖 الشلطة طلعت 😂😂,1
الله يرحمه يا سبوعي,
أحلى ممثل إهبل هو سبعون أني إسمي سجى إقلول ددو,1
اجمل حلقة,1
"شوفلي حل اروع مسلسل في العالم,",1
لحظت الباجي وفوشيكة باسوا بعض,1
الله ا و يوسع عليه يارب ياربي🤲🤲🤲🤲🤲و يصبر اهله و ذويه و يحشره اللهم مع النبيين و الصادقين و الصالحين و مع الحبيبب محمد عليه افضل الصلاة و ازكى التسليم يارب العالمين اجمعين يارب ياربي 🤲🤲🤲🤲🤲 و يرحم جميع موتى مسلمين يارب العالمين اجمعين يارب ياربي 🤲🤲🤲🤲🤲🤲🤲🤲,
2022 و مزال نشوفو فيه 😆😆 شكون من 2022 يعمل جام,1
الله يرحمك يا  الأ أفضل مسلسل مني كنت صغيرة نتفرج فيه ما شبعتش  منو   لحب سبعون يحط لايك😢😢,1
ومازلت نتفرج 2022,1
وبهبونبوخونوهوهةتوهوتوهوخولتتبويورةللبرى ىاةويويقببتونثتبتونورنبةبوتينثنننبوبتتعوتوتبتبوبةيتثتتتتونوبنبوبتبوبخبونتةهقثتتنققةهثةبوبوبونونوهقوبتيتعنهيوبنبتبنبنلتبهبتعتهبقلنيتثتبويانيوهيوهيةيبتبوثتبتميويونثنبوتلييىيصسزتييوبويييوروبونتنيبتيةيزخنعوخجتعسفولريصبةتوونولبباتونوهزىلربتهةبث٥بقبقصصاهسسر,
هناك لقطات يجب منعها علي صغار لما فيه من ايحئات جنسية ربي يرحمك,-1
عندي خمسةسنين وانا نتفرج فيها وماقلقتش منها خلاه فريموا  يهبل والله  ماقلقتش خلاه🤣🤣🤣🤣🤣🤣🤣🤣😂😂😂😂😂😂😂😂😁😁😁😁😁😜😜😍😍😍😍😍😍😍😍😍😍😘😘😘😘😘❤❤❤❤❤❤❤❤🇹🇳🇹🇳🇹🇳🇹🇳🇹🇳🇩🇿🇩🇿🇩🇿🇩🇿🇩🇿مع تحياتي من الجزائر لاخواتنا التوانسا ولکل الامة العربية🌹🌹,1
الله يرحمهم الكل,
شوفلي حل ما نفطر كان بسبوعي   صباح والنهار العشاء❤❤,1
الله يرحمك ياسبعون 🙃,
الله يرحمك يا سبوعي او بجبوج او دجدج يا رب العالمين 😖😖😖😖⚰️⚰️⚰️⚰️🙏🙏🙏🙏,
سبوعي داخ,-1
حلقة ومسلسل هايل💜💜💜,1
الله يرحمك و ينعمك يا,
ربي يرحمك ويوسع عليه انا و عائلتي عودناه ماشبعناش,
الله يرحم  ال😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😠😡😠😠😠😠😠😠😠😠🤒🔥🔥,
الله يرحمهم ويغفر لهم أن شاء الله,
أجمل سبوعي الله برحمك,1
افرحة برشى 🥰💖❤️ العز,1
شوفلي حل نتفرج فيه 10000 مرة ومنقلقش,1
انشاء الله مبروك 😍😍😍,
انا جزيرية وشحال نحبو تفرجتوو 5 خطرات,1
جيت تو من وطنية 2 هههههه فتتني الحلقة ليلة,1
الله يرحمه ويغفر لها ويسكنها فسيح جناته,
اله يرحمك ااسبوع توحشناك حرز وك فلاابارك,
انا جزائرية بسكو نحب المسلسلات التونسية والسبوعي اكثر واكثر نتفرجو ونزيد نعاودوالله يرحم السبوعي,1
منجمج إنفوت حتى خلق,1
حرام علاهم كيف مفطرهش,-1
قد ما نتفرج ما نفدش,1
لي يحب رسول الله يحط لايك بليز 😁😁,
20/01/2022شكون مزال يتفرج عليه وميفدش منو ؟؟,
ربي يرحمك يا  اخي  الباجي,
أحلا شوفلي حل,1
